STATION,DATE,MXSD,TPCP,TSNW,EMXT,EMNT,MNTM
GHCND:USW00024018,19150101,-9999,22,27,128,-228,-35
GHCND:USW00024018,19150201,-9999,246,249,156,-106,-4
GHCND:USW00024018,19150301,-9999,408,413,128,-150,-24
GHCND:USW00024018,19150401,-9999,836,0,211,-33,78
GHCND:USW00024018,19150501,-9999,563,208,261,-61,80
GHCND:USW00024018,19150601,-9999,340,0,256,-17,126
GHCND:USW00024018,19150701,-9999,435,0,317,6,168
GHCND:USW00024018,19150801,-9999,1012,0,300,56,161
GHCND:USW00024018,19150901,-9999,534,0,289,6,125
GHCND:USW00024018,19151001,-9999,282,25,239,-61,89
GHCND:USW00024018,19151101,-9999,50,48,194,-128,28
GHCND:USW00024018,19151201,-9999,106,145,144,-194,-18
GHCND:USW00024018,19160101,-9999,160,164,117,-283,-80
GHCND:USW00024018,19160201,-9999,77,97,178,-200,-1
GHCND:USW00024018,19160301,-9999,52,51,194,-161,37
GHCND:USW00024018,19160401,-9999,122,61,228,-111,45
GHCND:USW00024018,19160501,-9999,491,74,278,-83,92
GHCND:USW00024018,19160601,-9999,95,0,311,-11,147
GHCND:USW00024018,19160701,-9999,461,0,311,100,206
GHCND:USW00024018,19160801,-9999,323,0,300,50,177
GHCND:USW00024018,19160901,-9999,255,0,283,-33,132
GHCND:USW00024018,19161001,-9999,496,244,228,-111,61
GHCND:USW00024018,19161101,-9999,223,307,194,-294,-4
GHCND:USW00024018,19161201,-9999,87,133,100,-239,-61
GHCND:USW00024018,19170101,-9999,77,105,100,-244,-57
GHCND:USW00024018,19170201,-9999,204,320,122,-200,-26
GHCND:USW00024018,19170301,-9999,177,323,178,-178,-35
GHCND:USW00024018,19170401,-9999,446,391,189,-144,24
GHCND:USW00024018,19170501,-9999,1181,99,239,-106,61
GHCND:USW00024018,19170601,-9999,87,0,311,-11,145
GHCND:USW00024018,19170701,-9999,411,0,311,50,196
GHCND:USW00024018,19170801,-9999,446,0,311,44,164
GHCND:USW00024018,19170901,-9999,143,0,294,17,148
GHCND:USW00024018,19171001,-9999,99,147,239,-167,63
GHCND:USW00024018,19171101,-9999,103,100,189,-94,49
GHCND:USW00024018,19171201,-9999,206,308,150,-217,-9
GHCND:USW00024018,19180101,-9999,121,168,150,-267,-68
GHCND:USW00024018,19180201,-9999,227,299,189,-250,-13
GHCND:USW00024018,19180301,-9999,48,49,183,-122,49
GHCND:USW00024018,19180401,-9999,998,527,161,-128,15
GHCND:USW00024018,19180501,-9999,661,120,239,-33,104
GHCND:USW00024018,19180601,-9999,316,0,322,22,184
GHCND:USW00024018,19180701,-9999,992,0,317,78,187
GHCND:USW00024018,19180801,-9999,428,0,333,56,183
GHCND:USW00024018,19180901,-9999,653,30,272,0,117
GHCND:USW00024018,19181001,-9999,173,5,233,-89,90
GHCND:USW00024018,19181101,-9999,136,227,172,-228,-6
GHCND:USW00024018,19181201,-9999,148,201,133,-244,-30
GHCND:USW00024018,19190101,-9999,0,0,156,-189,-1
GHCND:USW00024018,19190201,-9999,66,74,133,-189,-36
GHCND:USW00024018,19190301,-9999,386,350,183,-139,9
GHCND:USW00024018,19190401,-9999,314,178,228,-89,54
GHCND:USW00024018,19190501,-9999,178,33,244,-22,107
GHCND:USW00024018,19190601,-9999,184,41,322,-22,170
GHCND:USW00024018,19190701,-9999,719,0,344,100,210
GHCND:USW00024018,19190801,-9999,111,0,317,72,200
GHCND:USW00024018,19190901,-9999,448,13,272,0,150
GHCND:USW00024018,19191001,-9999,424,198,200,-72,47
GHCND:USW00024018,19191101,-9999,415,397,167,-244,-8
GHCND:USW00024018,19191201,-9999,279,540,150,-333,-22
GHCND:USW00024018,19200101,-9999,51,51,172,-178,8
GHCND:USW00024018,19200201,-9999,175,209,139,-183,-29
GHCND:USW00024018,19200301,-9999,168,165,161,-256,-3
GHCND:USW00024018,19200401,-9999,1009,1055,156,-200,-3
GHCND:USW00024018,19200501,-9999,547,0,261,-22,97
GHCND:USW00024018,19200601,-9999,180,0,289,17,152
GHCND:USW00024018,19200701,-9999,539,0,328,67,188
GHCND:USW00024018,19200801,-9999,338,0,272,50,171
GHCND:USW00024018,19200901,-9999,588,0,289,-22,139
GHCND:USW00024018,19201001,-9999,243,185,239,-83,78
GHCND:USW00024018,19201101,-9999,56,105,167,-183,-1
GHCND:USW00024018,19201201,-9999,145,157,156,-183,-23
GHCND:USW00024018,19210101,-9999,374,468,139,-200,-21
GHCND:USW00024018,19210201,-9999,92,126,156,-200,-10
GHCND:USW00024018,19210301,-9999,100,102,217,-144,31
GHCND:USW00024018,19210401,-9999,509,252,206,-117,38
GHCND:USW00024018,19210501,-9999,611,0,239,-11,102
GHCND:USW00024018,19210601,-9999,742,0,311,56,165
GHCND:USW00024018,19210701,-9999,349,0,317,61,194
GHCND:USW00024018,19210801,-9999,156,0,306,61,187
GHCND:USW00024018,19210901,-9999,6,0,278,0,147
GHCND:USW00024018,19211001,-9999,15,0,256,-56,105
GHCND:USW00024018,19211101,-9999,87,92,194,-106,37
GHCND:USW00024018,19211201,-9999,332,343,156,-222,-10
GHCND:USW00024018,19220101,-9999,119,110,128,-300,-61
GHCND:USW00024018,19220201,-9999,217,230,133,-244,-45
GHCND:USW00024018,19220301,-9999,84,53,156,-261,10
GHCND:USW00024018,19220401,-9999,821,351,183,-72,34
GHCND:USW00024018,19220501,-9999,508,59,244,-22,99
GHCND:USW00024018,19220601,-9999,229,13,339,-17,177
GHCND:USW00024018,19220701,-9999,511,0,333,44,186
GHCND:USW00024018,19220801,-9999,551,0,322,100,206
GHCND:USW00024018,19220901,-9999,92,0,289,11,160
GHCND:USW00024018,19221001,-9999,59,63,278,-94,86
GHCND:USW00024018,19221101,-9999,609,571,128,-122,-3
GHCND:USW00024018,19221201,-9999,112,123,111,-183,-14
GHCND:USW00024018,19230101,-9999,15,18,139,-139,1
GHCND:USW00024018,19230201,-9999,147,174,139,-211,-45
GHCND:USW00024018,19230301,-9999,378,397,167,-194,-21
GHCND:USW00024018,19230401,-9999,829,366,211,-78,43
GHCND:USW00024018,19230501,-9999,655,8,256,-33,102
GHCND:USW00024018,19230601,-9999,589,0,300,56,152
GHCND:USW00024018,19230701,-9999,824,0,294,94,197
GHCND:USW00024018,19230801,-9999,526,0,289,56,176
GHCND:USW00024018,19230901,-9999,706,0,278,17,132
GHCND:USW00024018,19231001,-9999,719,185,211,-167,37
GHCND:USW00024018,19231101,-9999,71,10,150,-72,30
GHCND:USW00024018,19231201,-9999,71,105,161,-333,-26
GHCND:USW00024018,19240101,-9999,96,109,111,-217,-40
GHCND:USW00024018,19240201,-9999,291,365,178,-183,-3
GHCND:USW00024018,19240301,-9999,435,509,100,-194,-58
GHCND:USW00024018,19240401,-9999,359,246,211,-111,41
GHCND:USW00024018,19240501,-9999,911,0,239,-44,77
GHCND:USW00024018,19240601,-9999,385,0,311,17,157
GHCND:USW00024018,19240701,-9999,285,0,317,56,188
GHCND:USW00024018,19240801,-9999,60,0,328,67,191
GHCND:USW00024018,19240901,-9999,601,0,294,-17,125
GHCND:USW00024018,19241001,-9999,573,0,233,-28,88
GHCND:USW00024018,19241101,-9999,79,81,211,-94,36
GHCND:USW00024018,19241201,-9999,198,212,156,-267,-59
GHCND:USW00024018,19250101,-9999,8,6,133,-156,-30
GHCND:USW00024018,19250201,-9999,73,66,161,-100,14
GHCND:USW00024018,19250301,-9999,150,75,178,-189,29
GHCND:USW00024018,19250401,-9999,312,36,233,-78,73
GHCND:USW00024018,19250501,-9999,398,0,283,-33,114
GHCND:USW00024018,19250601,-9999,461,0,300,33,162
GHCND:USW00024018,19250701,-9999,968,0,350,78,200
GHCND:USW00024018,19250801,-9999,289,0,294,78,178
GHCND:USW00024018,19250901,-9999,48,0,278,0,144
GHCND:USW00024018,19251001,-9999,892,372,250,-150,32
GHCND:USW00024018,19251101,-9999,321,328,156,-117,17
GHCND:USW00024018,19251201,-9999,443,468,111,-178,-23
GHCND:USW00024018,19260101,-9999,224,230,89,-172,-34
GHCND:USW00024018,19260201,-9999,155,129,122,-111,6
GHCND:USW00024018,19260301,-9999,265,141,167,-139,-2
GHCND:USW00024018,19260401,-9999,322,122,222,-111,56
GHCND:USW00024018,19260501,-9999,445,0,278,-39,117
GHCND:USW00024018,19260601,-9999,1201,0,306,22,158
GHCND:USW00024018,19260701,-9999,742,0,333,61,184
GHCND:USW00024018,19260801,-9999,388,0,333,72,195
GHCND:USW00024018,19260901,-9999,94,0,289,-72,123
GHCND:USW00024018,19261001,-9999,310,178,261,-133,83
GHCND:USW00024018,19261101,-9999,132,146,144,-111,33
GHCND:USW00024018,19261201,-9999,196,230,167,-267,-30
GHCND:USW00024018,19270101,-9999,39,62,161,-194,-12
GHCND:USW00024018,19270201,-9999,278,421,122,-222,-17
GHCND:USW00024018,19270301,-9999,490,411,150,-189,-7
GHCND:USW00024018,19270401,-9999,571,521,244,-89,47
GHCND:USW00024018,19270501,-9999,513,203,272,-61,106
GHCND:USW00024018,19270601,-9999,512,0,328,22,149
GHCND:USW00024018,19270701,-9999,678,0,306,67,183
GHCND:USW00024018,19270801,-9999,1026,0,278,67,166
GHCND:USW00024018,19270901,-9999,262,25,272,-50,134
GHCND:USW00024018,19271001,-9999,451,33,233,-39,93
GHCND:USW00024018,19271101,-9999,164,100,194,-128,41
GHCND:USW00024018,19271201,-9999,120,148,94,-283,-59
GHCND:USW00024018,19280101,-9999,86,103,139,-250,-1
GHCND:USW00024018,19280201,-9999,326,385,150,-194,-26
GHCND:USW00024018,19280301,-9999,386,278,200,-183,12
GHCND:USW00024018,19280401,-9999,211,164,211,-150,35
GHCND:USW00024018,19280501,-9999,679,0,261,-22,115
GHCND:USW00024018,19280601,-9999,726,0,261,33,124
GHCND:USW00024018,19280701,-9999,494,0,322,72,187
GHCND:USW00024018,19280801,-9999,135,0,317,56,185
GHCND:USW00024018,19280901,-9999,21,0,294,-6,140
GHCND:USW00024018,19281001,-9999,324,122,267,-94,72
GHCND:USW00024018,19281101,-9999,303,372,178,-139,13
GHCND:USW00024018,19281201,-9999,43,56,156,-194,-29
GHCND:USW00024018,19290101,-9999,83,92,100,-206,-55
GHCND:USW00024018,19290201,-9999,218,271,83,-261,-82
GHCND:USW00024018,19290301,-9999,385,383,144,-144,3
GHCND:USW00024018,19290401,-9999,1217,394,183,-72,42
GHCND:USW00024018,19290501,-9999,371,13,239,-44,89
GHCND:USW00024018,19290601,-9999,184,0,328,11,158
GHCND:USW00024018,19290701,-9999,521,0,322,56,203
GHCND:USW00024018,19290801,-9999,457,0,322,94,202
GHCND:USW00024018,19290901,-9999,460,20,317,-22,116
GHCND:USW00024018,19291001,-9999,374,389,256,-111,80
GHCND:USW00024018,19291101,-9999,389,382,128,-200,-29
GHCND:USW00024018,19291201,-9999,28,41,156,-189,7
GHCND:USW00024018,19300101,-9999,226,331,122,-344,-105
GHCND:USW00024018,19300201,-9999,263,296,161,-133,14
GHCND:USW00024018,19300301,-9999,224,246,144,-222,-14
GHCND:USW00024018,19300401,-9999,303,10,244,-122,96
GHCND:USW00024018,19300501,-9999,1257,262,256,-67,82
GHCND:USW00024018,19300601,-9999,86,0,317,44,162
GHCND:USW00024018,19300701,-9999,234,0,344,78,205
GHCND:USW00024018,19300801,-9999,1711,0,306,89,190
GHCND:USW00024018,19300901,-9999,327,0,267,0,138
GHCND:USW00024018,19301001,-9999,379,0,222,-72,69
GHCND:USW00024018,19301101,-9999,211,236,194,-100,25
GHCND:USW00024018,19301201,-9999,31,32,161,-133,-17
GHCND:USW00024018,19310101,-9999,41,46,150,-144,-6
GHCND:USW00024018,19310201,-9999,189,180,139,-122,1
GHCND:USW00024018,19310301,-9999,297,400,133,-222,-12
GHCND:USW00024018,19310401,-9999,438,142,211,-100,49
GHCND:USW00024018,19310501,-9999,399,3,278,-56,92
GHCND:USW00024018,19310601,-9999,406,0,328,61,187
GHCND:USW00024018,19310701,-9999,192,0,350,44,211
GHCND:USW00024018,19310801,-9999,687,0,322,56,193
GHCND:USW00024018,19310901,-9999,192,0,306,17,165
GHCND:USW00024018,19311001,-9999,272,13,239,-56,86
GHCND:USW00024018,19311101,-9999,101,137,217,-211,4
GHCND:USW00024018,19311201,-9999,43,58,194,-161,3
GHCND:USW00024018,19320101,-9999,79,105,111,-189,-59
GHCND:USW00024018,19320201,-9999,155,198,183,-167,1
GHCND:USW00024018,19320301,-9999,358,404,128,-289,-35
GHCND:USW00024018,19320401,-9999,425,214,228,-83,61
GHCND:USW00024018,19320501,-9999,374,3,272,-22,113
GHCND:USW00024018,19320601,-9999,417,0,289,39,157
GHCND:USW00024018,19320701,-9999,249,0,322,67,211
GHCND:USW00024018,19320801,-9999,161,0,328,33,196
GHCND:USW00024018,19320901,-9999,287,0,283,22,146
GHCND:USW00024018,19321001,-9999,105,60,239,-94,60
GHCND:USW00024018,19321101,-9999,51,28,178,-128,38
GHCND:USW00024018,19321201,-9999,210,332,122,-294,-75
GHCND:USW00024018,19330101,-9999,61,102,111,-144,-15
GHCND:USW00024018,19330201,-9999,77,124,122,-300,-58
GHCND:USW00024018,19330301,-9999,224,232,183,-117,19
GHCND:USW00024018,19330401,-9999,1217,723,200,-133,32
GHCND:USW00024018,19330501,-9999,874,429,272,-33,91
GHCND:USW00024018,19330601,-9999,262,0,317,56,192
GHCND:USW00024018,19330701,-9999,333,0,339,89,212
GHCND:USW00024018,19330801,-9999,514,0,306,72,183
GHCND:USW00024018,19330901,-9999,524,0,317,28,160
GHCND:USW00024018,19331001,-9999,0,0,233,-44,106
GHCND:USW00024018,19331101,-9999,70,68,189,-139,46
GHCND:USW00024018,19331201,-9999,137,117,172,-139,39
GHCND:USW00024018,19340101,-9999,75,84,156,-117,11
GHCND:USW00024018,19340201,-9999,334,397,189,-228,-2
GHCND:USW00024018,19340301,-9999,221,172,183,-128,32
GHCND:USW00024018,19340401,-9999,391,395,239,-78,70
GHCND:USW00024018,19340501,-9999,422,58,300,-17,155
GHCND:USW00024018,19340601,-9999,221,0,322,44,175
GHCND:USW00024018,19340701,-9999,640,0,361,72,226
GHCND:USW00024018,19340801,-9999,358,0,333,50,199
GHCND:USW00024018,19340901,-9999,184,31,289,-61,119
GHCND:USW00024018,19341001,-9999,0,0,267,-11,109
GHCND:USW00024018,19341101,-9999,26,29,217,-106,41
GHCND:USW00024018,19341201,-9999,40,52,172,-133,-6
GHCND:USW00024018,19350101,-9999,46,51,167,-306,7
GHCND:USW00024018,19350201,-9999,175,219,189,-222,4
GHCND:USW00024018,19350301,-9999,83,66,206,-111,17
GHCND:USW00024018,19350401,-9999,750,692,206,-122,33
GHCND:USW00024018,19350501,-9999,1496,31,233,-33,70
GHCND:USW00024018,19350601,-9999,696,0,306,28,155
GHCND:USW00024018,19350701,-9999,493,0,339,83,210
GHCND:USW00024018,19350801,-9999,153,0,339,67,199
GHCND:USW00024018,19350901,-9999,438,82,311,-28,143
GHCND:USW00024018,19351001,-9999,67,69,250,-167,70
GHCND:USW00024018,19351101,-9999,83,85,144,-161,6
GHCND:USW00024018,19351201,-9999,18,18,133,-150,-14
GHCND:USW00024018,19360101,-9999,79,97,144,-233,-36
GHCND:USW00024018,19360201,-9999,153,181,172,-367,-66
GHCND:USW00024018,19360301,-9999,297,343,172,-178,7
GHCND:USW00024018,19360401,-9999,322,127,233,-211,61
GHCND:USW00024018,19360501,-9999,738,46,272,-11,132
GHCND:USW00024018,19360601,-9999,670,0,350,39,185
GHCND:USW00024018,19360701,-9999,448,0,356,94,225
GHCND:USW00024018,19360801,-9999,281,0,344,39,203
GHCND:USW00024018,19360901,-9999,290,18,294,-22,146
GHCND:USW00024018,19361001,-9999,174,148,250,-83,69
GHCND:USW00024018,19361101,-9999,62,58,183,-150,19
GHCND:USW00024018,19361201,-9999,104,106,156,-194,-8
GHCND:USW00024018,19370101,-9999,120,144,89,-322,-107
GHCND:USW00024018,19370201,-9999,69,69,133,-206,-31
GHCND:USW00024018,19370301,-9999,532,560,178,-167,-9
GHCND:USW00024018,19370401,-9999,401,384,233,-83,50
GHCND:USW00024018,19370501,-9999,304,6,278,-22,116
GHCND:USW00024018,19370601,-9999,326,76,339,-17,153
GHCND:USW00024018,19370701,-9999,502,0,339,94,208
GHCND:USW00024018,19370801,-9999,341,0,344,89,217
GHCND:USW00024018,19370901,-9999,126,3,311,-33,158
GHCND:USW00024018,19371001,-9999,314,72,244,-22,93
GHCND:USW00024018,19371101,-9999,229,193,183,-222,11
GHCND:USW00024018,19371201,-9999,429,411,167,-228,-30
GHCND:USW00024018,19380101,-9999,94,109,122,-228,-26
GHCND:USW00024018,19380201,-9999,72,84,156,-222,-11
GHCND:USW00024018,19380301,-9999,338,328,178,-83,25
GHCND:USW00024018,19380401,-9999,537,254,244,-150,59
GHCND:USW00024018,19380501,-9999,587,92,289,-50,100
GHCND:USW00024018,19380601,-9999,516,0,289,39,165
GHCND:USW00024018,19380701,-9999,336,0,350,72,200
GHCND:USW00024018,19380801,-9999,575,0,356,50,204
GHCND:USW00024018,19380901,-9999,847,0,283,22,156
GHCND:USW00024018,19381001,-9999,137,56,256,-78,98
GHCND:USW00024018,19381101,-9999,160,195,150,-183,-3
GHCND:USW00024018,19381201,-9999,246,297,133,-222,-25
GHCND:USW00024018,19390101,-9999,181,130,122,-172,-21
GHCND:USW00024018,19390201,-9999,190,313,150,-233,-71
GHCND:USW00024018,19390301,-9999,438,481,189,-200,14
GHCND:USW00024018,19390401,-9999,461,518,244,-167,59
GHCND:USW00024018,19390501,-9999,430,0,289,-22,125
GHCND:USW00024018,19390601,-9999,213,0,333,22,162
GHCND:USW00024018,19390701,-9999,178,0,378,83,221
GHCND:USW00024018,19390801,0,107,0,322,28,190
GHCND:USW00024018,19390901,-9999,125,0,306,-17,157
GHCND:USW00024018,19391001,-9999,95,74,233,-44,93
GHCND:USW00024018,19391101,-9999,15,30,183,-133,33
GHCND:USW00024018,19391201,-9999,66,92,206,-217,17
GHCND:USW00024018,19400101,-9999,391,472,89,-283,-73
GHCND:USW00024018,19400201,-9999,142,176,172,-156,-16
GHCND:USW00024018,19400301,-9999,307,246,211,-111,33
GHCND:USW00024018,19400401,-9999,346,242,233,-128,56
GHCND:USW00024018,19400501,-9999,328,0,289,-28,121
GHCND:USW00024018,19400601,-9999,77,0,344,0,182
GHCND:USW00024018,19400701,-9999,729,0,361,83,212
GHCND:USW00024018,19400801,-9999,209,0,339,72,196
GHCND:USW00024018,19400901,-9999,954,0,328,33,156
GHCND:USW00024018,19401001,-9999,62,38,239,-39,101
GHCND:USW00024018,19401101,-9999,186,193,167,-244,1
GHCND:USW00024018,19401201,-9999,70,115,178,-250,-3
GHCND:USW00024018,19410101,-9999,85,103,161,-133,-10
GHCND:USW00024018,19410201,-9999,84,80,150,-150,0
GHCND:USW00024018,19410301,-9999,347,315,189,-194,-2
GHCND:USW00024018,19410401,-9999,942,557,189,-61,48
GHCND:USW00024018,19410501,-9999,169,0,300,0,124
GHCND:USW00024018,19410601,-9999,1184,0,294,28,152
GHCND:USW00024018,19410701,-9999,530,0,339,89,199
GHCND:USW00024018,19410801,-9999,473,0,333,72,192
GHCND:USW00024018,19410901,-9999,280,51,283,-28,126
GHCND:USW00024018,19411001,-9999,364,25,228,-78,71
GHCND:USW00024018,19411101,-9999,180,187,206,-217,35
GHCND:USW00024018,19411201,-9999,182,204,194,-250,-12
GHCND:USW00024018,19420101,-9999,195,293,150,-328,-41
GHCND:USW00024018,19420201,-9999,148,189,100,-244,-59
GHCND:USW00024018,19420301,-9999,259,278,144,-122,0
GHCND:USW00024018,19420401,-9999,1281,559,239,-44,72
GHCND:USW00024018,19420501,-9999,833,547,289,-44,93
GHCND:USW00024018,19420601,-9999,632,13,272,6,148
GHCND:USW00024018,19420701,-9999,276,0,344,67,205
GHCND:USW00024018,19420801,-9999,524,0,306,61,186
GHCND:USW00024018,19420901,-9999,432,122,283,-78,129
GHCND:USW00024018,19421001,-9999,906,160,272,-83,79
GHCND:USW00024018,19421101,-9999,486,462,200,-161,23
GHCND:USW00024018,19421201,-9999,56,109,150,-183,-2
GHCND:USW00024018,19430101,-9999,143,168,156,-311,-24
GHCND:USW00024018,19430201,-9999,135,178,178,-156,9
GHCND:USW00024018,19430301,-9999,241,273,228,-294,-20
GHCND:USW00024018,19430401,-9999,339,102,250,-28,90
GHCND:USW00024018,19430501,-9999,1070,772,294,-50,85
GHCND:USW00024018,19430601,-9999,596,0,322,-11,156
GHCND:USW00024018,19430701,-9999,318,0,333,72,210
GHCND:USW00024018,19430801,-9999,282,0,344,78,207
GHCND:USW00024018,19430901,-9999,136,0,300,-11,142
GHCND:USW00024018,19431001,-9999,137,13,244,-72,85
GHCND:USW00024018,19431101,-9999,104,114,200,-161,27
GHCND:USW00024018,19431201,-9999,46,51,156,-133,-13
GHCND:USW00024018,19440101,-9999,107,158,156,-200,-26
GHCND:USW00024018,19440201,-9999,160,235,139,-189,-28
GHCND:USW00024018,19440301,-9999,503,558,133,-194,-23
GHCND:USW00024018,19440401,-9999,726,202,189,-122,32
GHCND:USW00024018,19440501,-9999,510,46,289,-44,113
GHCND:USW00024018,19440601,-9999,502,0,322,28,153
GHCND:USW00024018,19440701,-9999,1015,0,322,78,191
GHCND:USW00024018,19440801,-9999,8,0,344,28,200
GHCND:USW00024018,19440901,-9999,47,0,300,-17,141
GHCND:USW00024018,19441001,-9999,16,0,256,-56,98
GHCND:USW00024018,19441101,-9999,230,171,178,-156,21
GHCND:USW00024018,19441201,-9999,140,185,122,-183,-26
GHCND:USW00024018,19450101,-9999,246,260,139,-233,-20
GHCND:USW00024018,19450201,-9999,261,256,128,-228,-24
GHCND:USW00024018,19450301,-9999,259,289,200,-217,15
GHCND:USW00024018,19450401,-9999,783,666,228,-183,16
GHCND:USW00024018,19450501,-9999,334,0,256,-50,102
GHCND:USW00024018,19450601,-9999,883,0,283,-17,129
GHCND:USW00024018,19450701,-9999,399,0,328,50,201
GHCND:USW00024018,19450801,-9999,342,0,333,50,193
GHCND:USW00024018,19450901,-9999,363,79,322,-67,124
GHCND:USW00024018,19451001,-9999,134,117,244,-100,96
GHCND:USW00024018,19451101,-9999,117,150,194,-150,33
GHCND:USW00024018,19451201,-9999,74,72,128,-211,-35
GHCND:USW00024018,19460101,-9999,81,93,144,-194,-22
GHCND:USW00024018,19460201,-9999,124,127,156,-144,-11
GHCND:USW00024018,19460301,-9999,583,437,222,-117,34
GHCND:USW00024018,19460401,-9999,90,41,256,-28,94
GHCND:USW00024018,19460501,-9999,1056,219,222,-78,77
GHCND:USW00024018,19460601,-9999,317,0,317,11,164
GHCND:USW00024018,19460701,-9999,362,0,344,72,205
