Creek,Subunit,Veg04,Flow04
Crow,I,15,15
Crow,I,1,1
Crow,I,1,1
Crow,I,3,1
Crow,I,5,3
Crow,I,3,1
Crow,I,3,1
Crow,I,3,1
Crow,I,4,1
Crow,I,0,1
Crow,I,21,2
Crow,I,15,1
Crow,I,25,3
Crow,I,6,1
Crow,I,1,1
Crow,I,0,1
Crow,I,1,2
Crow,I,21,1
Crow,I,1,3
Crow,I,4,1
Crow,II,1,2
Crow,II,5,1
Crow,II,7,2
Crow,II,4,1
Crow,II,4,1
Crow,III,5,2
Crow,III,20,4
Crow,III,24,1
Crow,III,4,1
Crow,III,9,1
Crow,III,24,2
Crow,III,7,1
Crow,III,4,2
Crow,III,2,1
Crow,III,4,1
Crow,III,5,2
Crow,III,71,12
Crow,III,0,1
Crow,III,0,1
Crow,IV,10,1
Crow,IV,5,1
Crow,IV,14,1
Crow,IV,4,1
Crow,IV,17,1
Crow,IV,7,1
Crow,IV,10,2
Crow,IV,42,5
Crow,IV,5,1
Crow,IV,17,1
Crow,IV,14,1
Crow,IV,5,4
Crow,IV,1,1
Crow,IV,15,6
Crow,IV,1,1
Crow,IV,67,3
Crow,IV,39,1
Crow,IV,7,3
Crow,IV,1,1
Crow,V,3,2
Crow,V,33,3
Crow,V,0,1
Crow,V,4,1
Crow,V,16,1
Crow,VI,8,6
Crow,VI,30,4
Crow,VI,10,3
Crow,VI,73,4
Crow,VI,21,2
Crow,VI,33,7
Crow,VI,38,5
Crow,VI,36,7
Crow,VI,24,4
Crow,VI,8,2
Crow,VI,2,2
Crow,VI,17,2
Crow,VI,0,1
Crow,VI,7,1
Crow,VI,4,2
Crow,VI,0,1
Crow,VI,9,3
Crow,VI,9,3
Crow,VI,0,1
Diamond,I,0,1
Diamond,I,34,10
Diamond,I,4,2
Diamond,I,43,8
Diamond,I,32,5
Diamond,I,1,3
Diamond,I,5,1
Diamond,I,4,1
Diamond,I,1,1
Diamond,I,1,3
Diamond,I,3,2
Diamond,I,11,4
Diamond,I,14,6
Diamond,I,127,15
Diamond,I,121,21
Diamond,I,1,1
Diamond,I,6,3
Diamond,I,8,3
Diamond,I,15,4
Diamond,I,3,1
Diamond,I,1,1
Diamond,I,6,2
Diamond,I,15,4
Diamond,I,41,4
Diamond,I,4,1
Diamond,I,22,7
Diamond,I,25,12
Diamond,I,16,15
Diamond,I,21,12
Diamond,I,14,5
Diamond,I,9,3
Diamond,I,18,9
Diamond,I,52,12
Diamond,I,11,13
Diamond,I,32,12
Diamond,I,9,1
Diamond,I,1,1
Diamond,I,13,15
Diamond,I,4,2
Diamond,I,5,1
Diamond,I,54,1
Diamond,I,1,1
Diamond,I,16,2
Diamond,I,6,5
Diamond,I,0,1
Diamond,I,32,7
Diamond,I,64,34
Diamond,I,4,3
Diamond,I,29,3
Diamond,I,22,4
Diamond,I,2,1
Diamond,I,13,5
Diamond,I,15,9
Diamond,I,7,5
Diamond,I,1,1
Diamond,I,1,1
Diamond,I,9,4
Diamond,I,3,2
Diamond,I,5,1
Diamond,I,0,1
Diamond,II,4,1
Diamond,II,18,13
Diamond,II,28,20
Diamond,II,10,3
Diamond,II,9,4
Diamond,II,0,1
Diamond,II,1,1
Diamond,II,2,2
Diamond,II,0,2
Diamond,II,4,5
Diamond,II,0,1
Diamond,II,5,2
Diamond,II,74,18
Diamond,II,23,3
Diamond,II,5,2
Diamond,II,2,2
Diamond,II,0,1
Diamond,II,9,5
Diamond,II,52,27
Diamond,II,11,4
Diamond,II,17,4
Diamond,II,5,4
Diamond,II,11,6
Diamond,II,1,2
Diamond,II,1,1
Diamond,II,2,1
Diamond,II,1,1
Diamond,II,3,2
Diamond,III,1,2
Diamond,III,0,1
Diamond,III,27,12
Diamond,III,5,1
Diamond,III,4,4
Diamond,III,34,5
Diamond,III,15,2
Diamond,III,102,18
Diamond,III,78,12
Diamond,III,6,3
Diamond,III,1,1
Diamond,III,3,1
Diamond,III,2,4
Diamond,III,18,9
Diamond,III,4,2
Diamond,III,16,3
Diamond,III,4,2
Diamond,III,4,2
Diamond,III,1,1
Diamond,III,0,1
Diamond,III,8,1
Diamond,III,8,5
Diamond,III,7,2
Diamond,III,78,8
Diamond,III,40,18
Diamond,III,51,12
Diamond,III,0,2
Diamond,III,11,2
Diamond,III,17,1
Diamond,III,5,1
Diamond,III,4,2
Diamond,III,22,6
Diamond,III,0,3
Diamond,III,9,3
Diamond,III,2,1
Diamond,III,0,1
Diamond,III,12,6
Diamond,III,0,2
Diamond,III,15,4
Diamond,III,15,1
Diamond,III,1,1
Diamond,III,2,2
Diamond,III,0,1
Diamond,IV,6,4
Diamond,IV,2,3
Diamond,IV,6,2
Diamond,IV,4,4
Diamond,IV,2,1
Diamond,IV,6,4
Diamond,IV,18,3
Diamond,IV,2,1
Diamond,IV,1,1
Diamond,IV,1,1
Diamond,IV,72,5
Diamond,IV,2,2
Diamond,IV,59,7
Diamond,IV,0,1
Diamond,IV,0,2
Diamond,IV,8,4
Diamond,IV,0,1
Diamond,IV,1,1
Diamond,IV,15,4
Diamond,IV,3,3
Diamond,IV,2,1
Diamond,IV,3,2
Diamond,IV,6,2
Diamond,IV,11,2
Diamond,IV,5,6
Diamond,IV,52,9
Diamond,IV,0,3
Diamond,IV,11,2
Diamond,IV,13,2
Diamond,IV,40,6
Diamond,IV,10,3
Diamond,IV,1,1
Diamond,IV,0,1
Diamond,IV,3,4
Diamond,IV,1,1
Diamond,V,23,9
Diamond,V,23,5
Unnamed,I,0,1
Unnamed,I,106,12
Unnamed,I,57,30
Unnamed,I,141,31
Unnamed,I,27,3
Unnamed,I,15,3
Unnamed,I,28,3
Unnamed,I,11,2
Unnamed,I,22,4
Unnamed,I,15,5
Unnamed,I,15,3
Unnamed,I,5,10
Unnamed,I,28,1
Unnamed,I,2,1
Unnamed,I,1,1
Unnamed,I,3,1
Unnamed,I,1,1
Unnamed,II,74,19
Unnamed,II,33,5
Unnamed,II,85,32
Unnamed,II,273,66
Unnamed,II,53,13
Unnamed,II,5,1
Unnamed,II,36,3
Unnamed,II,113,11
Unnamed,II,7,4
Unnamed,II,29,6
Unnamed,II,3,3
Unnamed,II,43,8
Unnamed,II,77,1
Unnamed,II,60,44
Unnamed,II,182,19
Unnamed,II,25,11
Unnamed,II,66,26
Unnamed,II,10,3
Unnamed,II,30,6
Unnamed,II,57,12
Unnamed,II,151,7
Unnamed,II,95,5
Unnamed,II,111,6
Unnamed,II,211,7
Unnamed,II,5,1
Unnamed,II,10,10
Unnamed,II,2,1
Unnamed,II,117,24
Unnamed,II,5,6
